Undergrad_Degree,Work_Experience,Employability_Before,Status,Status_enc
Business,No,252.0,Placed,1
Business,No,423.0,Not Placed,0
Computer Science,Yes,101.0,Placed,1
Engineering,No,288.0,Not Placed,0
Finance,No,248.0,Not Placed,0
Computer Science,No,145.0,Not Placed,0
Finance,No,401.0,Placed,1
Business,No,287.0,Placed,1
Finance,No,275.0,Placed,1
Computer Science,No,254.0,Placed,1
Business,No,182.0,Not Placed,0
Engineering,No,117.0,Placed,1
Business,No,130.0,Not Placed,0
Engineering,No,219.0,Placed,1
Business,No,152.0,Placed,1
Finance,No,228.0,Placed,1
Computer Science,Yes,62.0,Not Placed,0
Art,No,393.0,Placed,1
Business,No,277.0,Not Placed,0
Computer Science,No,206.0,Not Placed,0
Business,No,229.0,Not Placed,0
Art,No,182.0,Placed,1
Engineering,No,98.0,Not Placed,0
Computer Science,No,125.0,Not Placed,0
Business,No,164.0,Placed,1
Computer Science,No,186.0,Placed,1
Computer Science,No,235.0,Placed,1
Art,No,184.0,Not Placed,0
Finance,No,76.0,Not Placed,0
Art,No,126.0,Placed,1
Business,No,183.0,Not Placed,0
Computer Science,No,242.0,Not Placed,0
Business,No,207.0,Not Placed,0
Finance,Yes,181.0,Placed,1
Business,No,239.0,Not Placed,0
Art,No,216.0,Placed,1
Business,Yes,289.0,Placed,1
Engineering,No,213.0,Not Placed,0
Art,No,209.0,Not Placed,0
Art,Yes,376.0,Not Placed,0
Engineering,No,332.0,Placed,1
Business,Yes,249.0,Placed,1
Finance,Yes,228.0,Placed,1
Business,No,124.0,Not Placed,0
Finance,No,194.0,Placed,1
Business,Yes,157.0,Not Placed,0
Business,No,402.0,Placed,1
Business,No,323.0,Not Placed,0
Engineering,No,181.0,Placed,1
Art,No,157.0,Placed,1
Business,Yes,266.0,Placed,1
Engineering,No,268.0,Not Placed,0
Business,Yes,167.0,Placed,1
Finance,Yes,342.0,Placed,1
Business,Yes,349.0,Placed,1
Engineering,No,340.0,Placed,1
Business,Yes,227.0,Placed,1
Computer Science,Yes,409.0,Placed,1
Computer Science,Yes,400.0,Placed,1
Computer Science,No,374.0,Placed,1
Computer Science,No,255.0,Placed,1
Finance,No,146.0,Not Placed,0
Business,No,248.0,Placed,1
Computer Science,No,198.0,Placed,1
Engineering,Yes,210.0,Not Placed,0
Engineering,Yes,107.0,Not Placed,0
Business,Yes,239.0,Placed,1
Computer Science,No,287.0,Not Placed,0
Business,Yes,340.0,Placed,1
Computer Science,No,155.0,Not Placed,0
Engineering,Yes,263.0,Placed,1
Engineering,Yes,265.0,Not Placed,0
Business,No,249.0,Not Placed,0
Computer Science,No,377.0,Not Placed,0
Engineering,No,301.0,Placed,1
Business,No,242.0,Not Placed,0
Business,No,211.0,Not Placed,0
Finance,No,160.0,Placed,1
Business,No,218.0,Placed,1
Business,No,133.0,Not Placed,0
Business,No,122.0,Not Placed,0
Engineering,No,236.0,Placed,1
Engineering,No,143.0,Not Placed,0
Business,No,354.0,Placed,1
Business,Yes,214.0,Placed,1
Art,Yes,225.0,Placed,1
Business,No,261.0,Placed,1
Business,No,277.0,Not Placed,0
Finance,No,282.0,Placed,1
Computer Science,No,322.0,Not Placed,0
Business,No,326.0,Placed,1
Computer Science,No,421.0,Placed,1
Engineering,No,368.0,Not Placed,0
Engineering,No,279.0,Placed,1
Finance,No,268.0,Not Placed,0
Business,Yes,261.272959183673,Placed,1
Computer Science,No,261.187551020408,Placed,1
Engineering,No,261.102142857143,Not Placed,0
Finance,No,261.016734693878,Placed,1
Art,No,260.931326530612,Not Placed,0
Business,No,260.845918367347,Placed,1
Computer Science,No,260.760510204082,Placed,1
Engineering,No,260.675102040816,Not Placed,0
Finance,No,260.589693877551,Placed,1
Art,No,260.504285714286,Not Placed,0
Business,Yes,260.41887755102,Placed,1
Computer Science,No,260.333469387755,Placed,1
Engineering,No,260.24806122449,Not Placed,0
Finance,No,260.162653061224,Placed,1
Art,No,260.077244897959,Not Placed,0
Business,No,259.991836734694,Placed,1
Computer Science,No,259.906428571429,Placed,1
Engineering,No,259.821020408163,Not Placed,0
Finance,No,259.735612244898,Placed,1
Art,No,259.650204081633,Not Placed,0
Business,Yes,259.564795918367,Placed,1
Computer Science,No,259.479387755102,Placed,1
Engineering,No,259.393979591837,Not Placed,0
Finance,No,259.308571428571,Placed,1
Art,No,259.223163265306,Not Placed,0
Business,No,259.137755102041,Placed,1
Computer Science,No,259.052346938775,Placed,1
Engineering,No,258.96693877551,Not Placed,0
Finance,No,258.881530612245,Placed,1
Art,No,258.79612244898,Not Placed,0
Business,Yes,258.710714285714,Placed,1
Computer Science,No,258.625306122449,Placed,1
Engineering,No,258.539897959184,Not Placed,0
Finance,No,258.454489795918,Placed,1
Art,No,258.369081632653,Not Placed,0
Business,No,258.283673469388,Placed,1
Computer Science,No,258.198265306122,Placed,1
Engineering,No,258.112857142857,Not Placed,0
Finance,No,258.027448979592,Placed,1
Art,No,257.942040816326,Not Placed,0
Business,Yes,257.856632653061,Placed,1
Computer Science,No,257.771224489796,Placed,1
Engineering,No,257.685816326531,Not Placed,0
Finance,No,257.600408163265,Placed,1
Art,No,257.515,Not Placed,0
Business,No,257.429591836735,Placed,1
Computer Science,No,257.344183673469,Placed,1
Engineering,No,257.258775510204,Not Placed,0
Finance,No,257.173367346939,Placed,1
Art,No,257.087959183673,Not Placed,0
Business,Yes,257.002551020408,Placed,1
Computer Science,No,256.917142857143,Placed,1
Engineering,No,256.831734693877,Not Placed,0
Finance,No,256.746326530612,Placed,1
Art,No,256.660918367347,Not Placed,0
Business,No,256.575510204082,Placed,1
Computer Science,No,256.490102040816,Placed,1
Engineering,No,256.404693877551,Not Placed,0
Finance,No,256.319285714286,Placed,1
Art,No,256.23387755102,Not Placed,0
Business,Yes,256.148469387755,Placed,1
Computer Science,No,256.06306122449,Placed,1
Engineering,No,255.977653061224,Not Placed,0
Finance,No,255.892244897959,Placed,1
Art,No,255.806836734694,Not Placed,0
Business,No,255.721428571429,Placed,1
Computer Science,No,255.636020408163,Placed,1
Engineering,No,255.550612244898,Not Placed,0
Finance,No,255.465204081633,Placed,1
Art,No,255.379795918367,Not Placed,0
Business,Yes,255.294387755102,Placed,1
Computer Science,No,255.208979591837,Placed,1
Engineering,No,255.123571428571,Not Placed,0
Finance,No,255.038163265306,Placed,1
Art,No,254.952755102041,Not Placed,0
Business,No,254.867346938775,Placed,1
Computer Science,No,254.78193877551,Placed,1
Engineering,No,254.696530612245,Not Placed,0
Finance,No,254.61112244898,Placed,1
Art,No,254.525714285714,Not Placed,0
Business,Yes,254.440306122449,Placed,1
Computer Science,No,254.354897959184,Placed,1
Engineering,No,254.269489795918,Not Placed,0
Finance,No,254.184081632653,Placed,1
Art,No,254.098673469388,Not Placed,0
Business,No,254.013265306122,Placed,1
Computer Science,No,253.927857142857,Placed,1
Engineering,No,253.842448979592,Not Placed,0
Finance,No,253.757040816326,Placed,1
Art,No,253.671632653061,Not Placed,0
Business,Yes,253.586224489796,Placed,1
Computer Science,No,253.500816326531,Placed,1
Engineering,No,253.415408163265,Not Placed,0
Finance,No,253.33,Placed,1
Art,No,253.24459183673463,Not Placed,0
Business,No,253.15918367346933,Placed,1
Computer Science,No,253.07377551020403,Placed,1
Engineering,No,252.98836734693876,Not Placed,0
Finance,No,252.90295918367343,Placed,1
Art,No,252.81755102040813,Not Placed,0
Business,Yes,252.7321428571428,Placed,1
Computer Science,No,252.6467346938775,Placed,1
Engineering,No,252.5613265306122,Not Placed,0
Finance,No,252.47591836734688,Placed,1
Art,No,252.3905102040816,Not Placed,0
Business,No,252.30510204081628,Placed,1
Computer Science,No,252.21969387755095,Placed,1
Engineering,No,252.13428571428568,Not Placed,0
Finance,No,252.04887755102035,Placed,1
Art,No,251.963469387755,Not Placed,0
Business,Yes,251.87806122449,Placed,1
Computer Science,No,251.792653061224,Placed,1
Engineering,No,251.707244897959,Not Placed,0
Finance,No,251.621836734694,Placed,1
Art,No,251.536428571429,Not Placed,0
Business,No,251.451020408163,Placed,1
Computer Science,No,251.365612244898,Placed,1
Engineering,No,251.280204081633,Not Placed,0
Finance,No,251.194795918367,Placed,1
Art,No,251.109387755102,Not Placed,0
Business,Yes,251.023979591837,Placed,1
